epoca,perdida_entrenamiento,precision_entrenamiento,perdida_validacion,precision_validacion
1,3.4233,12.18,2.2830,18.07
2,2.3714,13.83,2.1793,21.69
3,2.2633,12.78,2.1663,24.10
4,2.2049,14.74,2.1228,21.69
5,2.1889,16.69,2.1023,19.28
6,2.1411,17.44,2.0493,20.48
7,2.1491,18.95,2.0442,21.69
8,2.1270,19.25,2.0402,20.48
9,2.1214,20.30,2.0075,21.69
10,2.1419,17.14,2.1557,18.07
11,2.1776,19.55,2.0261,22.89
12,2.1192,20.30,2.0880,16.87
13,2.1356,16.69,1.9998,26.51
14,2.1007,18.20,2.0055,21.69
15,2.1042,21.35,2.0221,24.10
16,2.0997,20.75,2.0039,24.10
17,2.0610,21.05,1.9758,25.30
18,2.0713,20.75,2.0019,24.10
19,2.0197,25.41,1.9840,22.89
20,2.0690,21.80,1.9914,25.30
21,2.0739,22.71,1.9394,26.51
22,2.0715,23.01,2.0062,22.89
23,2.0669,19.25,2.0345,22.89
24,2.0923,20.60,1.9482,24.10
25,2.0534,20.60,1.9125,27.71
26,2.0413,24.81,1.9356,28.92
27,2.0204,22.26,1.8735,31.33
28,1.9966,23.16,1.8459,28.92
29,1.9942,22.71,1.7936,26.51
30,1.9757,25.11,1.8364,32.53
31,1.9429,25.41,1.8671,25.30
32,1.9327,26.02,1.8125,30.12
33,1.9066,27.07,1.8261,28.92
34,1.9077,27.67,1.7454,26.51
35,1.9232,27.22,1.8431,32.53
36,1.8971,29.92,1.9035,26.51
37,1.9175,23.01,1.8682,31.33
38,1.9470,25.56,1.7099,31.33
39,1.9361,26.92,1.6872,32.53
40,2.0179,22.56,1.9016,28.92
41,2.0086,22.26,1.8462,34.94
42,1.8887,26.92,1.7529,32.53
43,1.8750,27.37,1.8068,30.12
44,1.9045,26.47,1.7766,31.33
45,2.0038,23.46,1.9181,26.51
46,1.9919,24.51,1.9024,24.10
47,1.9904,23.61,1.9032,28.92
48,1.9639,25.11,1.9080,26.51
49,1.9987,23.16,1.9480,25.30
50,2.0069,26.32,1.9301,27.71
