epoca,perdida_entrenamiento,precision_entrenamiento,perdida_validacion,precision_validacion
1,2.5236,8.87,2.3024,12.05
2,2.3068,10.38,2.3004,9.64
3,2.3107,10.98,2.3060,9.64
4,2.3062,11.28,2.3040,9.64
5,2.3027,10.38,2.2938,14.46
6,2.2945,11.43,2.2840,14.46
7,2.2964,10.38,2.2756,14.46
8,2.2767,12.33,2.2794,14.46
9,2.2938,10.98,2.2946,10.84
10,2.2844,12.63,2.2188,14.46
11,2.2617,14.44,2.2193,14.46
12,2.2633,11.28,2.2347,14.46
13,2.2702,12.78,2.1801,16.87
14,2.2729,11.43,2.2538,14.46
15,2.2491,12.03,2.2077,15.66
16,2.2460,14.14,2.2386,16.87
17,2.2520,12.78,2.2027,16.87
18,2.2175,14.14,2.1789,18.07
19,2.2378,12.63,2.1810,19.28
20,2.2240,13.98,2.1616,19.28
21,2.2641,11.58,2.2371,16.87
22,2.2204,12.93,2.1443,21.69
23,2.2501,12.93,2.2187,16.87
24,2.2386,13.68,2.1850,16.87
25,2.2279,15.79,2.1765,20.48
26,2.2080,15.34,2.1547,21.69
27,2.2367,14.44,2.1959,18.07
28,2.2283,15.79,2.1499,20.48
29,2.2205,14.74,2.1781,19.28
30,2.2044,16.24,2.1731,19.28
31,2.2040,16.69,2.1517,19.28
32,2.2243,15.64,2.1976,18.07
33,2.2010,15.64,2.1156,24.10
34,2.2173,13.53,2.1217,24.10
35,2.2084,15.79,2.0974,21.69
36,2.2133,15.19,2.2020,18.07
37,2.2348,14.14,2.0958,25.30
38,2.2583,13.98,2.1990,16.87
39,2.2092,15.19,2.0893,21.69
40,2.2336,13.68,2.1796,18.07
41,2.2143,16.09,2.1606,20.48
42,2.1822,17.74,2.1179,24.10
43,2.2212,15.79,2.1364,21.69
44,2.2112,15.04,2.1498,20.48
45,2.1889,17.29,2.1089,21.69
46,2.2114,14.59,2.1979,16.87
47,2.2379,16.09,2.1735,16.87
48,2.2321,14.44,2.1067,27.71
49,2.2209,13.98,2.1754,18.07
50,2.2151,16.99,2.1374,19.28
