epoca,perdida_entrenamiento,precision_entrenamiento,perdida_validacion,precision_validacion
1,2.4380,9.62,2.3034,6.02
2,2.2907,12.33,2.2924,14.46
3,2.2820,14.59,2.2490,21.69
4,2.2674,15.34,2.2177,24.10
5,2.2627,14.59,2.2559,9.64
6,2.2156,17.89,2.1317,25.30
7,2.1884,19.10,2.1317,22.89
8,2.1604,19.70,2.0657,27.71
9,2.1507,19.25,2.0762,27.71
10,2.1123,21.35,2.0513,26.51
11,2.1190,20.30,2.0148,27.71
12,2.0861,22.56,1.9785,30.12
13,2.0609,21.65,1.9542,26.51
14,2.0525,24.06,1.9409,30.12
15,2.0408,22.86,1.9372,30.12
16,2.0640,20.75,1.8906,28.92
17,1.9910,23.91,1.9336,33.73
18,2.0209,23.76,1.9224,31.33
19,2.0013,24.36,1.8861,32.53
20,1.9991,22.26,1.9019,27.71
21,2.0102,23.76,1.8770,32.53
22,2.0228,25.41,1.8742,32.53
23,1.9429,23.91,1.7666,31.33
24,2.0197,23.46,1.8448,32.53
25,1.9688,25.71,1.7985,36.14
26,1.9348,27.07,1.7630,34.94
27,1.9149,28.27,1.8347,32.53
28,1.9326,25.41,1.8165,32.53
29,1.9449,26.62,1.8612,34.94
30,1.9538,26.47,1.8101,27.71
31,1.9343,24.96,1.7898,30.12
32,1.8870,29.02,1.7866,37.35
33,1.9262,26.47,1.7802,30.12
34,1.9540,25.71,1.8075,30.12
35,1.8851,26.17,1.7838,31.33
36,1.9094,26.62,1.7037,37.35
37,1.8842,30.83,1.8249,31.33
38,1.9361,25.41,1.7420,31.33
39,1.8527,30.23,1.7585,31.33
40,1.8899,29.32,1.7108,33.73
41,1.9342,24.96,1.6972,37.35
42,1.8793,25.26,1.6910,36.14
43,1.8697,26.62,1.7212,34.94
44,1.8601,30.53,1.7344,31.33
45,1.8509,30.83,1.7750,28.92
46,1.8910,26.47,1.7331,33.73
47,1.8664,26.92,1.7117,36.14
48,1.8647,28.72,1.7474,32.53
49,1.8242,31.13,1.7025,34.94
50,1.8135,31.58,1.7293,39.76
