epoca,perdida_entrenamiento,precision_entrenamiento,perdida_validacion,precision_validacion
1,2.6230,11.73,2.2739,18.07
2,2.2875,14.89,2.2747,14.46
3,2.2912,12.48,2.2675,15.66
4,2.2827,12.63,2.2396,18.07
5,2.2411,14.59,2.1984,19.28
6,2.2225,15.79,2.1354,21.69
7,2.2157,16.39,2.1870,20.48
8,2.2467,17.44,2.2208,16.87
9,2.2434,15.19,2.2213,16.87
10,2.2303,15.04,2.1905,18.07
11,2.2014,15.94,2.1586,16.87
12,2.2310,17.14,2.1822,22.89
13,2.2054,17.89,2.1096,21.69
14,2.1656,18.95,2.1666,22.89
15,2.1598,18.95,2.1661,21.69
16,2.1679,20.00,2.1259,24.10
17,2.1743,19.25,2.1530,19.28
18,2.1507,19.70,2.0550,30.12
19,2.1138,21.50,2.0299,30.12
20,2.1359,22.26,2.0783,25.30
21,2.1394,19.40,2.0720,24.10
22,2.1347,18.80,2.0810,26.51
23,2.1067,20.75,2.0598,25.30
24,2.1009,20.00,2.1140,20.48
25,2.1182,18.50,2.0412,27.71
26,2.0630,21.50,2.0523,28.92
27,2.0865,21.50,2.0224,27.71
28,2.0854,22.26,2.0328,24.10
29,2.0413,25.71,2.0283,25.30
30,2.0714,23.91,2.0059,27.71
31,2.0806,22.71,2.0278,28.92
32,2.0990,21.35,2.0271,26.51
33,2.0480,23.31,1.9699,30.12
34,2.0361,24.06,1.9537,34.94
35,1.9966,25.86,1.9709,31.33
36,1.9850,25.41,1.9676,27.71
37,1.9988,23.91,1.9477,28.92
38,2.0081,24.51,1.9389,32.53
39,1.9704,24.36,1.9313,36.14
40,1.9769,23.91,1.9371,33.73
41,1.9414,27.52,1.8873,40.96
42,1.9692,26.47,1.9134,32.53
43,1.9201,26.62,1.8863,28.92
44,1.9014,27.67,1.8921,30.12
45,1.8943,27.22,1.8581,33.73
46,1.9639,26.32,1.8252,38.55
47,1.9679,23.61,1.9067,31.33
48,1.9793,25.41,1.9363,27.71
49,1.9971,23.91,1.9500,30.12
50,1.9106,26.77,1.8977,37.35
