epoca,perdida_entrenamiento,precision_entrenamiento,perdida_validacion,precision_validacion
1,2.3493,13.53,2.1928,19.28
2,2.1216,22.71,2.0587,24.10
3,1.9995,27.52,1.9470,27.71
4,1.8254,38.20,1.7711,34.94
5,1.6664,43.31,1.6759,36.14
6,1.5607,45.71,1.9344,32.53
7,1.4777,50.83,1.5638,43.37
8,1.3320,57.29,1.5624,48.19
9,1.2706,60.30,1.6555,34.94
10,1.2341,59.85,1.4372,51.81
11,1.0322,70.23,1.4234,51.81
12,0.9113,72.93,1.4298,50.60
13,0.9000,71.13,1.4438,48.19
14,0.8106,77.74,1.5102,46.99
15,0.7922,73.83,1.7161,44.58
16,0.9480,66.92,1.4762,46.99
17,0.7000,80.45,1.5649,45.78
18,0.5807,83.61,1.4930,50.60
19,0.5383,85.56,1.4915,53.01
20,0.4936,87.52,1.5394,55.42
21,0.4031,90.83,1.5596,50.60
22,0.3787,91.43,1.5220,54.22
23,0.2987,93.68,1.6105,53.01
24,0.2830,94.44,1.5181,54.22
25,0.2938,93.08,1.5441,50.60
26,0.2383,95.64,1.6611,55.42
27,0.2356,94.29,1.7906,54.22
28,0.1733,96.54,1.5915,57.83
29,0.2254,94.44,1.7887,54.22
30,0.1814,96.39,1.7065,59.04
31,0.1302,98.50,2.0166,48.19
32,0.1798,96.24,1.8055,54.22
33,0.1212,98.20,1.9785,55.42
34,0.1225,97.44,1.8346,54.22
35,0.0893,99.25,1.9479,49.40
36,0.0941,98.50,1.9994,49.40
37,0.1529,96.24,2.1431,53.01
38,0.0903,98.50,2.0491,53.01
39,0.0669,99.10,1.9360,59.04
40,0.0586,99.85,2.0643,51.81
41,0.0508,99.55,2.0078,55.42
42,0.0599,98.95,2.0933,55.42
43,0.0353,100.00,1.9745,59.04
44,0.0246,100.00,2.1028,54.22
45,0.0206,100.00,2.0477,59.04
46,0.0188,100.00,2.0558,55.42
47,0.0166,100.00,2.0732,55.42
48,0.0162,100.00,2.0026,59.04
49,0.0148,100.00,2.0019,57.83
50,0.0136,100.00,2.0468,59.04
