epoca,perdida_entrenamiento,precision_entrenamiento,perdida_validacion,precision_validacion
1,2.2784,13.38,2.1829,16.87
2,2.1538,21.05,2.0573,27.71
3,2.0445,26.92,1.9522,27.71
4,1.9610,29.77,1.9168,27.71
5,1.8924,32.48,1.8059,28.92
6,1.7973,35.79,1.7377,39.76
7,1.7801,36.39,1.7170,32.53
8,1.7007,40.00,1.6837,33.73
9,1.6474,43.31,1.5679,38.55
10,1.5936,45.71,1.6483,36.14
11,1.5792,46.17,1.6455,38.55
12,1.5496,45.26,1.4963,40.96
13,1.4762,51.43,1.4557,45.78
14,1.4571,50.23,1.4685,42.17
15,1.4441,51.43,1.4966,45.78
16,1.3833,50.08,1.3818,48.19
17,1.3471,53.68,1.3534,45.78
18,1.3485,54.29,1.3640,50.60
19,1.4138,50.08,1.4637,49.40
20,1.3200,54.59,1.3990,39.76
21,1.3155,55.49,1.3751,44.58
22,1.3021,53.23,1.3380,50.60
23,1.2825,55.94,1.4143,44.58
24,1.3219,55.04,1.4145,45.78
25,1.2794,57.89,1.3524,49.40
26,1.2082,58.05,1.2952,50.60
27,1.2295,56.54,1.4628,48.19
28,1.2388,57.14,1.3251,46.99
29,1.2068,56.39,1.3217,55.42
30,1.1622,59.40,1.3034,50.60
31,1.1667,59.70,1.2785,57.83
32,1.1858,60.90,1.3863,49.40
33,1.1738,61.50,1.3649,54.22
34,1.1415,61.50,1.3673,49.40
35,1.1249,60.60,1.2488,55.42
36,1.0993,63.76,1.2455,51.81
37,1.0850,64.21,1.2342,55.42
38,1.0670,64.66,1.3429,53.01
39,1.1232,61.80,1.2802,56.63
40,1.0691,61.20,1.2612,57.83
41,1.0703,62.26,1.3248,50.60
42,1.0829,65.11,1.3310,55.42
43,1.0131,67.37,1.3126,56.63
44,1.0575,62.71,1.3002,54.22
45,1.0219,64.96,1.2511,61.45
46,0.9819,67.52,1.3309,53.01
47,1.0081,66.32,1.3288,53.01
48,1.0268,64.66,1.3784,54.22
49,0.9981,65.86,1.3409,51.81
50,0.9815,68.27,1.2804,55.42
